playId;songId;clientId;time
91701;5498;44910;21.07.2022
35262;9584;23238;17.04.2022
91245;1388;3111;30.05.2020
89904;9786;67444;9.06.2020
84156;7376;96501;27.11.2022
60735;2078;70147;3.07.2021
3258;8839;83303;22.06.2022
42121;1579;67285;14.12.2020
35134;3706;36075;9.02.2020
76765;3802;78956;30.05.2020
57715;4402;45758;1.05.2020
89173;534;72694;28.04.2021
78192;8792;59035;5.05.2020
84657;5524;30569;31.03.2020
60267;804;34360;28.05.2022
74934;1765;55663;23.07.2021
11877;5569;76574;19.03.2021
77955;9395;45880;13.04.2022
43103;322;69560;6.04.2021
15271;7315;7329;2.02.2020
75090;5765;89791;25.09.2020
33521;5014;27504;8.11.2021
19907;9814;42317;27.12.2021
58714;51;9341;16.08.2022
23846;1188;67719;17.01.2020
40631;9303;79973;23.06.2020
34007;4939;96372;14.07.2020
21269;4362;12503;6.03.2021
63319;1851;6946;13.09.2020
45896;7676;51384;7.08.2022
25021;5668;66004;2.09.2020
7130;3807;80255;18.10.2021
83365;4708;31362;7.11.2022
75524;4510;247;17.10.2021
82017;3212;78322;22.03.2020
65452;5662;4563;20.09.2020
97442;9380;66490;9.02.2022
55137;3587;76069;17.01.2022
53234;7643;27573;6.04.2022
2218;6221;21579;31.03.2022
77677;628;62942;26.04.2020
98919;5815;51100;18.01.2020
96697;8366;76032;12.05.2022
74513;2984;41860;19.09.2022
93064;5081;73550;13.01.2022
92682;1493;34241;7.02.2022
28547;9355;77634;31.01.2020
50294;5578;57588;13.04.2021
92523;5769;86084;6.10.2022
8809;3140;86949;15.11.2021
83643;8376;83415;27.06.2020
89875;3146;17996;23.01.2021
44485;5575;69598;25.11.2020
36103;6186;11371;4.03.2020
8371;9953;31215;13.08.2022
33444;1103;29190;9.03.2021
97915;4563;54303;16.05.2022
5673;4837;219;12.07.2021
21981;7384;63905;24.12.2022
49022;7318;40174;6.08.2020
93268;3110;19778;28.05.2022
26230;3802;85669;13.07.2020
2417;8174;77617;19.06.2022
79628;5333;46478;10.11.2020
13166;8698;71325;22.01.2020
81995;2315;19633;13.07.2020
21840;1255;58306;13.02.2020
11920;1167;99843;13.03.2022
660;5779;42194;5.11.2020
55907;7090;5128;17.09.2020
3004;567;46427;4.06.2021
64640;6217;41396;20.05.2020
77784;1829;22683;21.05.2022
14499;6211;2898;4.11.2020
72059;5072;50270;14.06.2022
19660;1274;33513;18.06.2020
16939;7581;49142;19.05.2022
51257;7331;66623;19.12.2020
27961;8681;96245;3.03.2022
69740;6402;32863;28.11.2021
68793;3568;56829;10.12.2022
6215;9106;34967;12.01.2022
1004;104;72633;21.11.2022
47647;969;34592;3.09.2020
23490;697;22834;18.01.2022
15167;6810;31321;20.08.2020
25088;5054;3509;10.01.2021
45856;7903;34864;9.05.2020
82329;5029;21422;25.05.2022
17635;378;45156;28.01.2021
18102;1508;77731;5.11.2021
88548;6470;83157;18.07.2021
17460;8259;52574;16.10.2022
61117;4199;16404;10.11.2021
90730;4957;65484;13.03.2021
89637;1517;4350;24.12.2022
47309;8771;77421;18.06.2020
33624;6218;30781;17.03.2022
96602;4516;87086;3.09.2021
50848;8025;32278;18.06.2022
71083;6418;80676;23.08.2021
92897;6310;71332;26.01.2020
61175;4885;52104;18.01.2022
40600;9400;91881;31.05.2021
11646;5509;92046;12.12.2020
16827;3941;41507;27.10.2021
97900;219;57278;9.09.2022
89243;1470;69490;21.09.2021
33249;2547;71610;8.11.2022
90365;486;48701;2.09.2021
73441;1742;11881;10.12.2021
9801;6748;50250;16.07.2020
41319;3168;42862;18.07.2022
63696;3816;15890;16.10.2020
69736;9381;10104;23.01.2022
5166;7171;25633;10.05.2020
82752;5961;78393;14.04.2022
1896;1844;87056;18.03.2022
67985;3154;89297;16.06.2021
79908;2581;17451;17.04.2021
25476;426;8547;16.07.2021
92318;8722;23531;12.05.2022
96637;7218;90856;24.10.2022
68038;5847;82169;25.05.2021
63982;5543;27352;26.02.2020
51193;8615;88652;9.01.2021
76883;4616;41360;25.07.2021
43591;5926;76363;8.01.2021
61406;1479;48759;17.11.2022
48923;7453;76274;6.03.2022
72763;8352;98122;15.10.2022
25762;9277;87313;31.12.2021
40780;3189;76427;1.10.2020
84872;1062;37853;19.11.2021
32046;525;82302;24.07.2022
99325;3355;19244;18.02.2022
68198;46;97215;26.07.2021
2724;6288;11650;30.08.2022
61763;2238;10348;14.11.2020
88353;432;40959;5.04.2021
9395;4605;45468;19.06.2022
12531;9358;19396;28.03.2020
45731;3554;77861;21.03.2022
53606;8924;12228;24.08.2021
27124;7865;51412;5.02.2020
23990;941;26644;29.10.2021
27882;8189;48628;18.07.2020
834;8541;1614;21.08.2020
34485;7978;77147;3.11.2021
45547;1392;20400;18.10.2020
12878;295;4304;23.07.2020
94347;833;38432;16.03.2021
64682;4984;94952;12.02.2021
59246;342;14928;19.10.2020
49778;1269;36907;8.05.2022
70498;9832;68679;23.05.2022
48021;5209;33705;7.07.2020
70930;5166;75745;14.07.2020
87504;5224;70990;10.07.2021
23517;6185;51772;4.04.2021
55374;8637;66868;26.04.2021
70677;958;3455;8.08.2021
39226;13;68065;19.05.2021
18388;992;11019;14.07.2020
7504;7451;54004;2.04.2021
2167;5397;74157;14.05.2022
37583;490;71619;16.04.2022
85365;4858;65837;16.03.2020
23232;5235;44851;6.07.2021
11046;5112;86354;23.04.2021
66043;1138;69728;25.07.2022
70486;2615;94656;11.12.2022
29658;7484;4735;10.08.2022
16319;6371;17322;15.05.2021
63567;5160;37502;2.07.2020
77030;2748;27453;6.02.2020
46364;9257;87669;2.01.2021
65050;7085;47642;29.06.2021
92307;3576;71193;29.12.2022
